index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
108,"[(0.2, 0.25), (0.3, 0.35), (0.45, 0.5)]",85,43,0.328125,14.039854212924157,0.0001789768170704642
109,"[(0.2, 0.25), (0.25, 0.3), (0.45, 0.5)]",158,29,0.6898395721925134,,0.0
110,"[(0.2, 0.25), (0.25, 0.3), (0.5, 0.55)]",120,24,0.6666666666666666,69.86475984776851,1.1102230246251565e-16
111,"[(0.2, 0.25), (0.2, 0.25), (0.5, 0.55)]",126,30,0.6153846153846154,63.521729524349176,1.5543122344752192e-15
112,"[(0.2, 0.25), (0.2, 0.25), (0.55, 0.6)]",86,26,0.5357142857142857,33.88997620804698,5.831839011705142e-09
113,"[(0.2, 0.25), (0.15, 0.2), (0.55, 0.6)]",66,16,0.6097560975609756,32.73144611965469,1.058114851293368e-08
114,"[(0.2, 0.25), (0.15, 0.2), (0.6, 0.65)]",69,14,0.6626506024096386,39.735193942364695,2.9083713215527496e-10
115,"[(0.2, 0.25), (0.1, 0.15), (0.6, 0.65)]",53,12,0.6307692307692307,27.92749081779698,1.2594758169726106e-07
116,"[(0.2, 0.25), (0.1, 0.15), (0.65, 0.7)]",45,5,0.8,36.806420716849715,1.3045988733750846e-09
117,"[(0.2, 0.25), (0.05, 0.1), (0.65, 0.7)]",43,2,0.9111111111111111,46.01942084295246,1.1708634062301826e-11
118,"[(0.2, 0.25), (0.05, 0.1), (0.7, 0.75)]",43,9,0.6538461538461539,24.171212387464184,8.813996738021856e-07
119,"[(0.2, 0.25), (0.0, 0.05), (0.7, 0.75)]",21,2,0.8260869565217391,18.294567479640147,1.8924607546821903e-05
120,"[(0.2, 0.25), (0.0, 0.05), (0.75, 0.8)]",36,2,0.8947368421052632,37.00858987443023,1.1760997731258271e-09
121,"[(0.15, 0.2), (0.35, 0.4), (0.4, 0.45)]",57,55,0.017857142857142856,0.03571618403709047,0.85010280275042
122,"[(0.15, 0.2), (0.35, 0.4), (0.45, 0.5)]",44,31,0.17333333333333334,2.264754516431279,0.13234718210395902
123,"[(0.15, 0.2), (0.3, 0.35), (0.45, 0.5)]",61,36,0.25773195876288657,6.516598196957021,0.01068722340356465
124,"[(0.15, 0.2), (0.3, 0.35), (0.5, 0.55)]",38,28,0.15151515151515152,1.5210025954413546,0.21746783370174283
125,"[(0.15, 0.2), (0.25, 0.3), (0.5, 0.55)]",68,21,0.5280898876404494,26.125914615683655,3.198621290056991e-07
126,"[(0.15, 0.2), (0.25, 0.3), (0.55, 0.6)]",57,21,0.46153846153846156,17.262170121297647,3.256052532696341e-05
127,"[(0.15, 0.2), (0.2, 0.25), (0.55, 0.6)]",64,22,0.4883720930232558,21.416482718511155,3.6958031645051292e-06
128,"[(0.15, 0.2), (0.2, 0.25), (0.6, 0.65)]",63,14,0.6363636363636364,33.72721159532463,6.3407488148925495e-09
129,"[(0.15, 0.2), (0.15, 0.2), (0.6, 0.65)]",71,16,0.632183908045977,37.56297842307269,8.850853383535195e-10
130,"[(0.15, 0.2), (0.15, 0.2), (0.65, 0.7)]",83,13,0.7291666666666666,56.945630093920165,4.4853010194856324e-14
131,"[(0.15, 0.2), (0.1, 0.15), (0.65, 0.7)]",53,10,0.6825396825396826,32.20421392162582,1.387894166260395e-08
132,"[(0.15, 0.2), (0.1, 0.15), (0.7, 0.75)]",45,4,0.8367346938775511,40.22001344832113,2.2691171164268553e-10
133,"[(0.15, 0.2), (0.05, 0.1), (0.7, 0.75)]",61,7,0.7941176470588235,49.18432216812042,2.330025061780816e-12
134,"[(0.15, 0.2), (0.05, 0.1), (0.75, 0.8)]",26,2,0.8571428571428571,24.406398240902362,7.800918012668134e-07
135,"[(0.15, 0.2), (0.0, 0.05), (0.75, 0.8)]",43,4,0.8297872340425532,37.79552525049484,7.856176820197902e-10
136,"[(0.15, 0.2), (0.0, 0.05), (0.8, 0.85)]",49,3,0.8846153846153846,49.14802299261593,2.373545804346122e-12
137,"[(0.1, 0.15), (0.4, 0.45), (0.45, 0.5)]",50,32,0.21951219512195122,3.9835793824906203,0.04594582951051818
138,"[(0.1, 0.15), (0.35, 0.4), (0.45, 0.5)]",59,30,0.3258426966292135,9.624185607953601,0.0019203158305928225
139,"[(0.1, 0.15), (0.35, 0.4), (0.5, 0.55)]",40,27,0.19402985074626866,2.5384582899918877,0.11110322284613638
140,"[(0.1, 0.15), (0.3, 0.35), (0.5, 0.55)]",56,27,0.3493975903614458,10.349471205286155,0.001295117802718071
141,"[(0.1, 0.15), (0.3, 0.35), (0.55, 0.6)]",40,21,0.3114754098360656,6.0176433126680315,0.014163547766909756
142,"[(0.1, 0.15), (0.25, 0.3), (0.55, 0.6)]",51,26,0.3246753246753247,8.265865355762564,0.004039740120238
143,"[(0.1, 0.15), (0.25, 0.3), (0.6, 0.65)]",56,14,0.6,26.984265983046047,2.051183574103277e-07
144,"[(0.1, 0.15), (0.2, 0.25), (0.6, 0.65)]",56,21,0.45454545454545453,16.50796258748475,4.844619342525558e-05
145,"[(0.1, 0.15), (0.2, 0.25), (0.65, 0.7)]",45,10,0.6363636363636364,24.090865425231875,9.189518208607694e-07
146,"[(0.1, 0.15), (0.15, 0.2), (0.65, 0.7)]",57,11,0.6764705882352942,34.076509186904914,5.298709138124025e-09
147,"[(0.1, 0.15), (0.15, 0.2), (0.7, 0.75)]",49,9,0.6896551724137931,30.342115328462366,3.621761690553171e-08
148,"[(0.1, 0.15), (0.1, 0.15), (0.7, 0.75)]",76,6,0.8536585365853658,70.74676241475248,0.0
149,"[(0.1, 0.15), (0.1, 0.15), (0.75, 0.8)]",63,3,0.9090909090909091,67.08765114376638,2.220446049250313e-16
150,"[(0.1, 0.15), (0.05, 0.1), (0.75, 0.8)]",50,0,1.0,69.31471805599453,1.1102230246251565e-16
151,"[(0.1, 0.15), (0.05, 0.1), (0.8, 0.85)]",54,3,0.8947368421052632,55.51288481164533,9.281464485866309e-14
152,"[(0.1, 0.15), (0.0, 0.05), (0.8, 0.85)]",38,3,0.8536585365853658,35.373381207376255,2.721814218453744e-09
